Address,Balance
0x4007CE2083c7F3E18097aeB3A39bb8eC149a341d,13894.65
0x00868BB3BA2B36316c2fc42E4aFB6D4246b77E46,7226.1500000000015
0x0fC1b909ba9265A846b82CF4CE352fc3e7EeB2ED,7115.0999999999985
0xf76F1ACB66020f893c95371f740549F312DEA3f1,6976.55
0xAe5D1F192013db889b1e2115A370aB133f359765,5600.5
0x7e92476D69Ff1377a8b45176b1829C4A5566653a,4915.249999999999
0x3623338046b101ecEc741De9C3594CC2176f39E5,4483.25
0x336C033842FA316d470e820c81b742e62A0765DC,4301.100000000001
0x4D0704f400D57Ba93eEa88765C3FcDBD826dCFc4,4272.55
0x6FEFc571fb14499112C9C34f2A68E54185760631,3948
0x4841e8153a7b9E8B1F218E42d3cBaEb3e99C28eE,3859.25
0xA0B11F474d8ECE1205d38c66d5F2bE8917675d60,2276.25
0x9e4EF4353C928cD3eb473E8f12aeCF58C208ef40,2196.9
0x16B2433b9CF5FF87dE03dDaEea627C9106Ee117a,2191.2999999999993
0xC3fdC486EEa63D7960e50CC5409fbeA434a6fDf3,2100
0xc4fc63d88dd411b19acf86fb56ba50941611b3a7,1687.25
0x8c8b5eeea2770e795f2814e802e335bdb9e5a3b0,1673.1
0xb87d1713f2fade89fe9de557a2e37d10f006a5d1,1436.3499999999997
0x999cc482d3b04dd3dF733411687341906989Ec5B,1325
0xcDeFeD59e93D90B5b2CC6ac4231d12ee38B69A9b,1300
0xE7a9fdf596D869AF34a130fa9607178B2B9800D9,1290
0x10693e86f2e7151B3010469E33b6C1C2dA8887d6,1205.7
0x9e4ef4353c928cd3eb473e8f12aecf58c208ef40,1204.8
0x1F9FCc0E84dc2094499b848AE37Cd6a51db03Ff2,1135.05
0x30fDdD8b3f3a4183734884b6d383da6bf4bf2cd1,1041.15
0x2bBc6a8314044d70684C74CfA0E117eb75E3708c,1000
0xD75943B4d35770AC8e6E1Ebe26F483DC5282d2AD,850
0x5c747b83f343F642AD983e3Cbea04FEb37227Dfe,800
0xc6fa133f3290e14Ad91C7449f8D8101A6f894E25,708.2
0xa611a37657A76583305F557D63B94834a35C7bF4,562.95
0xCee33C98410DEbe67A319Cb94F39e403435Df319,426.15
0x91e6aF5A1E6a530d60949e1438036A4741B80D22,351.3
0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,337.5
0x18E90bBCbDFde054990C549B34b52Fb77f70A0c5,318.75
0x43BbdE754e2e4e8A3b1282D1037Ce1a1B7c577C2,300
0xCAC0A8cF4cc7073b040c7fe6328Da7f229AF40A6,277.85
0x3ac293A770B62F7fECCe918dCC361a594b7f68eA,229.2
0x336c033842fa316d470e820c81b742e62a0765dc,212.5
0x5987cad5F0BDdD4d069A50A2427dFf0186a07F8F,204.4
0x7b3813a943391465Dd62B648529c337e52FbA79b,200
0xB49c891C1e1E693958d11F27a920Fee343aEb68d,200
0x9d4b1a2c56364532b6006d214dba3fe6e89da5ad,200
0x5c747b83f343f642ad983e3cbea04feb37227dfe,200
0x5387ab162D3Fc48a8c9857517E36cF4B55dE8c1a,131.25
0x24fbA1343132DE969Aeef0B1BD5CaAE1fB102978,100.8
0x639EeCAA3418AfbAB34A3c5B44cC14A9045D7429,100
0x9Ea3efa3F1145A46c4eEc34B5a995De570b8050b,89.8
0x3b07d616EC780b22148b190A07F3829A11B11042,78.6
0x4a7ebb5594ec3b09ad7533c1dc97a278c44faeda,75
0x219d695ff93b443fc3E943BD1052805AF83C6612,75
0x0BEd00438D57d07E3667b85Fa8EB86Af147C7025,72.75
0xD76e43a789489D66Bb5CE56304fC8bb2A084F9F5,62.5
0xceb35ce20527b4371f0a9a72f0a1a133075e4aef,56.25
0xDD7Fa234BcF98B71dB490A6d074FA18865c681A4,50
0x19275E9fD721906F2715D4b78681b49da5088117,46.3
0xefC0e701A824943b469a694aC564Aa1efF7Ab7dd,37.5
0x2F05fD58023B0a95d1866aa0A3b672cEf05945c5,31
0xaa13387810931252811186Ff05a467194E41341C,25
0xB951653877b7D6c9AB26bf5E7f30708fC76f53E0,19.75
0x55E4584211005429873f5D176AFA8B0b42B54744,18.1
0x1688Ae524968aCa90B75B598aA9065d87c2C9CEF,16
0x71830A63d52ecBC91A6D86505f4206e8d65Df62A,14.1
0x8f96b063DE0EC72Aed162Dd27aeCdC9699e100EF,3.6
0x6665c09B7473bd174329B93C13281D1B902bA053,1
